"Date","Price","Open","High","Low","Change %"
"Nov 18, 2018","1.2814","1.2829","1.2928","1.2763","-0.19%"
"Nov 11, 2018","1.2839","1.2960","1.3073","1.2724","-1.06%"
"Nov 04, 2018","1.2976","1.3026","1.3176","1.2958","0.02%"
"Oct 28, 2018","1.2973","1.2829","1.3042","1.2696","1.09%"
"Oct 21, 2018","1.2833","1.3070","1.3093","1.2777","-1.83%"
"Oct 14, 2018","1.3072","1.3139","1.3236","1.3011","-0.63%"
"Oct 07, 2018","1.3155","1.3108","1.3259","1.3028","0.24%"
"Sep 30, 2018","1.3123","1.3031","1.3126","1.2920","0.71%"
"Sep 23, 2018","1.3031","1.3069","1.3219","1.3000","-0.35%"
"Sep 16, 2018","1.3077","1.3068","1.3298","1.3054","0.07%"
"Sep 09, 2018","1.3068","1.2935","1.3143","1.2896","1.11%"
"Sep 02, 2018","1.2924","1.2972","1.3031","1.2786","-0.30%"
"Aug 26, 2018","1.2963","1.2840","1.3046","1.2830","0.92%"
"Aug 19, 2018","1.2845","1.2740","1.2938","1.2729","0.73%"
"Aug 12, 2018","1.2752","1.2769","1.2828","1.2663","-0.13%"
"Aug 05, 2018","1.2769","1.3011","1.3019","1.2723","-1.84%"
"Jul 29, 2018","1.3008","1.3095","1.3175","1.2975","-0.73%"
"Jul 22, 2018","1.3104","1.3122","1.3215","1.3071","-0.23%"
"Jul 15, 2018","1.3134","1.3229","1.3294","1.2957","-0.76%"
"Jul 08, 2018","1.3235","1.3304","1.3364","1.3103","-0.38%"
"Jul 01, 2018","1.3285","1.3182","1.3293","1.3095","0.58%"
"Jun 24, 2018","1.3209","1.3275","1.3294","1.3050","-0.46%"
"Jun 17, 2018","1.3270","1.3261","1.3316","1.3100","-0.11%"
"Jun 10, 2018","1.3285","1.3404","1.3449","1.3212","-0.95%"
"Jun 03, 2018","1.3412","1.3337","1.3473","1.3294","0.48%"
"May 27, 2018","1.3348","1.3306","1.3363","1.3204","0.29%"
"May 20, 2018","1.3309","1.3472","1.3493","1.3294","-1.22%"
"May 13, 2018","1.3474","1.3547","1.3611","1.3452","-0.51%"
"May 06, 2018","1.3543","1.3537","1.3619","1.3459","0.07%"
"Apr 29, 2018","1.3533","1.3787","1.3795","1.3487","-1.79%"
"Apr 22, 2018","1.3780","1.4020","1.4033","1.3747","-1.60%"
"Apr 15, 2018","1.4004","1.4252","1.4378","1.3994","-1.66%"
"Apr 08, 2018","1.4241","1.4098","1.4298","1.4077","1.06%"
"Apr 01, 2018","1.4092","1.4026","1.4106","1.3965","0.53%"
"Mar 25, 2018","1.4018","1.4142","1.4246","1.4009","-0.82%"
"Mar 18, 2018","1.4134","1.3932","1.4218","1.3912","1.38%"
"Mar 11, 2018","1.3941","1.3853","1.3998","1.3840","0.66%"
"Mar 04, 2018","1.3849","1.3798","1.3931","1.3767","0.32%"
"Feb 25, 2018","1.3805","1.3975","1.4072","1.3713","-1.16%"
"Feb 18, 2018","1.3967","1.4035","1.4051","1.3858","-0.53%"
"Feb 11, 2018","1.4042","1.3827","1.4146","1.3797","1.47%"
"Feb 04, 2018","1.3838","1.4131","1.4152","1.3765","-2.02%"
"Jan 28, 2018","1.4123","1.4163","1.4280","1.3980","-0.33%"
"Jan 21, 2018","1.4170","1.3881","1.4346","1.3858","2.30%"
"Jan 14, 2018","1.3852","1.3731","1.3947","1.3722","0.90%"
"Jan 07, 2018","1.3729","1.3573","1.3743","1.3458","1.16%"
"Dec 31, 2017","1.3571","1.3515","1.3615","1.3494","0.41%"
"Dec 24, 2017","1.3515","1.3358","1.3545","1.3348","1.15%"
"Dec 17, 2017","1.3362","1.3328","1.3422","1.3310","0.31%"
"Dec 10, 2017","1.3321","1.3393","1.3464","1.3302","-0.53%"
"Dec 03, 2017","1.3392","1.3480","1.3540","1.3320","-0.60%"
"Nov 26, 2017","1.3473","1.3337","1.3552","1.3221","1.02%"
"Nov 19, 2017","1.3337","1.3218","1.3361","1.3186","0.93%"
"Nov 12, 2017","1.3214","1.3183","1.3261","1.3062","0.17%"
"Nov 05, 2017","1.3191","1.3086","1.3232","1.3058","0.88%"
"Oct 29, 2017","1.3076","1.3113","1.3321","1.3039","-0.40%"
"Oct 22, 2017","1.3129","1.3187","1.3281","1.3070","-0.46%"
"Oct 15, 2017","1.3190","1.3309","1.3313","1.3087","-0.73%"
"Oct 08, 2017","1.3287","1.3070","1.3338","1.3056","1.69%"
"Oct 01, 2017","1.3066","1.3390","1.3404","1.3027","-2.47%"
"Sep 24, 2017","1.3397","1.3492","1.3571","1.3342","-0.71%"
"Sep 17, 2017","1.3493","1.3576","1.3658","1.3450","-0.74%"
"Sep 10, 2017","1.3593","1.3204","1.3617","1.3160","2.99%"
"Sep 03, 2017","1.3198","1.2959","1.3225","1.2909","1.91%"
"Aug 27, 2017","1.2951","1.2901","1.2996","1.2851","0.50%"
"Aug 20, 2017","1.2887","1.2871","1.2918","1.2772","0.09%"
"Aug 13, 2017","1.2876","1.2997","1.3027","1.2834","-1.05%"
"Aug 06, 2017","1.3012","1.3026","1.3061","1.2938","-0.18%"
"Jul 30, 2017","1.3036","1.3131","1.3265","1.3022","-0.75%"
"Jul 23, 2017","1.3135","1.2987","1.3161","1.2987","1.08%"
"Jul 16, 2017","1.2995","1.3102","1.3129","1.2933","-0.77%"
"Jul 09, 2017","1.3096","1.2884","1.3115","1.2810","1.58%"
"Jul 02, 2017","1.2892","1.3013","1.3026","1.2867","-1.04%"
"Jun 25, 2017","1.3027","1.2730","1.3032","1.2705","2.43%"
"Jun 18, 2017","1.2718","1.2785","1.2815","1.2589","-0.45%"
"Jun 11, 2017","1.2776","1.2731","1.2819","1.2638","0.24%"
"Jun 04, 2017","1.2745","1.2853","1.2982","1.2637","-1.10%"
"May 28, 2017","1.2887","1.2809","1.2924","1.2772","0.65%"
"May 21, 2017","1.2804","1.3007","1.3043","1.2773","-1.77%"
"May 14, 2017","1.3035","1.2889","1.3049","1.2866","1.12%"
"May 07, 2017","1.2891","1.2980","1.2991","1.2843","-0.69%"
"Apr 30, 2017","1.2981","1.2952","1.2985","1.2831","0.23%"
"Apr 23, 2017","1.2951","1.2846","1.2970","1.2773","1.08%"
"Apr 16, 2017","1.2813","1.2529","1.2905","1.2514","2.31%"
"Apr 09, 2017","1.2524","1.2381","1.2576","1.2364","1.22%"
"Apr 02, 2017","1.2373","1.2541","1.2556","1.2363","-1.41%"
"Mar 26, 2017","1.2550","1.2488","1.2620","1.2380","0.64%"
"Mar 19, 2017","1.2470","1.2400","1.2532","1.2335","0.61%"
"Mar 12, 2017","1.2394","1.2163","1.2406","1.2108","1.83%"
"Mar 05, 2017","1.2171","1.2295","1.2303","1.2136","-1.01%"
"Feb 26, 2017","1.2295","1.2470","1.2489","1.2217","-1.39%"
"Feb 19, 2017","1.2468","1.2411","1.2572","1.2400","0.43%"
"Feb 12, 2017","1.2414","1.2475","1.2550","1.2382","-0.62%"
"Feb 05, 2017","1.2491","1.2493","1.2585","1.2347","0.02%"
"Jan 29, 2017","1.2488","1.2550","1.2710","1.2412","-0.53%"
"Jan 22, 2017","1.2555","1.2367","1.2682","1.2361","1.45%"
"Jan 15, 2017","1.2375","1.2059","1.2416","1.1980","1.61%"
"Jan 08, 2017","1.2179","1.2268","1.2318","1.2039","-0.88%"
"Jan 01, 2017","1.2287","1.2351","1.2438","1.2205","-0.41%"
"Dec 25, 2016","1.2338","1.2265","1.2389","1.2200","0.37%"
"Dec 18, 2016","1.2292","1.2493","1.2505","1.2228","-1.64%"
"Dec 11, 2016","1.2497","1.2580","1.2737","1.2382","-0.63%"
